"","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","V06","TSA",164,"-0.11","(-0.26, 0.04)",0.154,0.185
"2","V12","TSA",205,"-0.07","(-0.2, 0.07)",0.341,0.341
"3","V24","TSA",194,"-0.13","(-0.26, 0.01)",0.077,0.154
"4","V06","TCV",181,"-0.17","(-0.3, -0.02)",0.025,0.117
"5","V12","TCV",205,"-0.11","(-0.24, 0.03)",0.112,0.168
"6","V24","TCV",200,"-0.15","(-0.28, -0.01)",0.039,0.117
