"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",726.337,"(634.67, 818)",275,"<0.001",NA
"2","ADIR_Pro_BV_Tot",-4.546,"(-9.66, 0.57)",204,"0.081",NA
"3","Cand_SexMale",57.873,"(18.47, 97.28)",204,"0.004",NA
"4","RiskGroupHR-ASD",-74.148,"(-301.58, 153.28)",204,"0.521",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",8.436,"(-4.6, 21.47)",204,"0.204",NA
"6","RiskGroupHR-ASD:AgeMRI",-1.61,"(-4, 0.78)",275,"0.186",NA
"7","SiteSEA",9.521,"(-48.78, 67.82)",204,"0.748",NA
"8","SiteSTL",7.249,"(-47.91, 62.41)",204,"0.796",NA
"9","SiteUNC",16.985,"(-38.45, 72.42)",204,"0.546",NA
"10","AgeMRI",8.845,"(7.98, 9.71)",275,"<0.001",NA
