"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1232.736,"(1151.34, 1314.13)",394,"<0.001",NA
"2","ADIR_Pro_A_Tot",-1.655,"(-5.35, 2.04)",286,"0.379",NA
"3","Cand_SexMale",107.485,"(68.06, 146.91)",286,"<0.001",NA
"4","RiskGroupHR-ASD",63.253,"(-107.46, 233.96)",286,"0.466",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",0.133,"(-8.16, 8.43)",286,"0.975",NA
"6","RiskGroupHR-ASD:AgeMRI",-1.518,"(-4.88, 1.84)",394,"0.375",NA
"7","SiteSEA",-10.597,"(-66.64, 45.45)",286,"0.71",NA
"8","SiteSTL",40.843,"(-11.56, 93.25)",286,"0.126",NA
"9","SiteUNC",-19.987,"(-74.65, 34.67)",286,"0.472",NA
"10","AgeMRI",20.938,"(19.46, 22.42)",394,"<0.001",NA
