"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","ADIR_Pro_C_Tot",-3512.415,"(-6864.84, -159.99)",316,"0.04",NA
"2","Cand_SexMale",75580.986,"(59613.16, 91548.82)",316,"<0.001",NA
"3","RiskGroupHR-ASD",-30043.183,"(-82778.62, 22692.26)",316,"0.263",NA
"4","RiskGroupHR-ASD:ADIR_Pro_C_Tot",6973.762,"(-819.06, 14766.59)",316,"0.079",NA
