"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1280.174,"(1170.9, 1389.44)",394,"<0.001",NA
"2","ADIR_Pro_C_Tot",-4.685,"(-17.06, 7.69)",286,"0.457",NA
"3","Cand_SexMale",117.996,"(58.4, 177.59)",286,"<0.001",NA
"4","RiskGroupHR-ASD",-79.451,"(-281.69, 122.79)",286,"0.44",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",10.077,"(-19.66, 39.81)",286,"0.505",NA
"6","RiskGroupHR-ASD:AgeMRI",0.679,"(-2.53, 3.89)",394,"0.678",NA
"7","SiteSEA",10.656,"(-73.91, 95.22)",286,"0.804",NA
"8","SiteSTL",-22.014,"(-100.29, 56.27)",286,"0.58",NA
"9","SiteUNC",-29.324,"(-113.1, 54.45)",286,"0.491",NA
"10","AgeMRI",24.847,"(23.44, 26.25)",394,"<0.001",NA
