"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1255.596,"(1172.63, 1338.56)",394,"<0.001",NA
"2","ADIR_Pro_A_Tot",-1.867,"(-5.63, 1.9)",286,"0.33",NA
"3","Cand_SexMale",73.146,"(33.06, 113.24)",286,"<0.001",NA
"4","RiskGroupHR-ASD",-161.963,"(-334.65, 10.73)",286,"0.066",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",9.857,"(1.43, 18.29)",286,"0.022",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.379,"(-2.68, 1.93)",394,"0.747",NA
"7","SiteSEA",50.079,"(-6.9, 107.05)",286,"0.085",NA
"8","SiteSTL",-25.432,"(-78.59, 27.72)",286,"0.347",NA
"9","SiteUNC",-4.019,"(-59.48, 51.44)",286,"0.887",NA
"10","AgeMRI",15.625,"(14.62, 16.63)",394,"<0.001",NA
