"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","SCQ_Pro_Score",-2.857,"(-10.2, 4.49)",267,"0.444",NA
"2","Cand_SexMale",198.675,"(117.6, 279.75)",267,"<0.001",NA
"3","RiskGroupHR-ASD",81.229,"(-28.22, 190.68)",267,"0.145",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",18.777,"(-1.84, 39.39)",267,"0.074",NA
