"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",648.564,"(563.83, 733.3)",394,"<0.001",NA
"2","ADIR_Pro_A_Tot",-0.158,"(-4, 3.68)",286,"0.935",NA
"3","Cand_SexMale",64.1,"(23.2, 105)",286,"0.002",NA
"4","RiskGroupHR-ASD",-111.241,"(-287.73, 65.25)",286,"0.216",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",5.624,"(-2.97, 14.22)",286,"0.199",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.174,"(-2.83, 2.48)",394,"0.898",NA
"7","SiteSEA",-7.16,"(-65.24, 50.92)",286,"0.808",NA
"8","SiteSTL",37.381,"(-16.81, 91.57)",286,"0.176",NA
"9","SiteUNC",10.678,"(-45.85, 67.21)",286,"0.71",NA
"10","AgeMRI",21.447,"(20.29, 22.61)",394,"<0.001",NA
