"","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","V06","TSA",16,"0.13","(-0.39, 0.59)",0.627,0.731
"2","V12","TSA",21,"0.36","(-0.09, 0.68)",0.112,0.322
"3","V24","TSA",26,"0.3","(-0.1, 0.61)",0.143,0.322
"4","V06","TCV",26,"-0.07","(-0.45, 0.33)",0.731,0.731
"5","V12","TCV",21,"0.27","(-0.19, 0.63)",0.241,0.362
"6","V24","TCV",27,"0.28","(-0.11, 0.6)",0.161,0.322
