"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","ADIR_Pro_BV_Tot",-0.00029,"(-0.0012, 6e-04)",220,"0.514",NA
"2","Cand_SexMale",0.00256,"(-0.0043, 0.0094)",220,"0.462",NA
"3","RiskGroupHR-ASD",-0.03082,"(-0.068, 0.0064)",220,"0.104",NA
"4","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",0.00185,"(-2e-04, 0.0039)",220,"0.076",NA
