"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1088.867,"(1010.96, 1166.77)",394,"<0.001",NA
"2","ADIR_Pro_A_Tot",-0.934,"(-4.47, 2.6)",286,"0.603",NA
"3","Cand_SexMale",98.883,"(61.27, 136.5)",286,"<0.001",NA
"4","RiskGroupHR-ASD",-94.188,"(-255.95, 67.57)",286,"0.253",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",4.226,"(-3.68, 12.13)",286,"0.294",NA
"6","RiskGroupHR-ASD:AgeMRI",0.717,"(-1.16, 2.59)",394,"0.452",NA
"7","SiteSEA",34.015,"(-19.44, 87.47)",286,"0.211",NA
"8","SiteSTL",-2.686,"(-52.52, 47.15)",286,"0.916",NA
"9","SiteUNC",26.803,"(-25.2, 78.8)",286,"0.311",NA
"10","AgeMRI",13.268,"(12.45, 14.09)",394,"<0.001",NA
