"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","ADIR_Pro_BV_Tot",-2543.047,"(-5057.73, -28.36)",226,"0.047",NA
"2","Cand_SexMale",71745.518,"(52779.05, 90711.98)",226,"<0.001",NA
"3","RiskGroupHR-ASD",-97827.32,"(-199362.03, 3707.39)",226,"0.059",NA
"4","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",6417.245,"(650.16, 12184.33)",226,"0.029",NA
