"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","ADIR_Pro_A_Tot",-0.00018,"(-7e-04, 4e-04)",300,"0.509",NA
"2","Cand_SexMale",0.00261,"(-0.0032, 0.0084)",300,"0.38",NA
"3","RiskGroupHR-ASD",-0.01143,"(-0.0356, 0.0127)",300,"0.353",NA
"4","RiskGroupHR-ASD:ADIR_Pro_A_Tot",0.00053,"(-6e-04, 0.0017)",300,"0.368",NA
