"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1753.617,"(1611.45, 1895.79)",394,"<0.001",NA
"2","ADIR_Pro_C_Tot",-8.035,"(-24.06, 7.99)",286,"0.324",NA
"3","Cand_SexMale",195.543,"(118.57, 272.51)",286,"<0.001",NA
"4","RiskGroupHR-ASD",-65.858,"(-328.34, 196.63)",286,"0.622",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",27.959,"(-10.5, 66.42)",286,"0.154",NA
"6","RiskGroupHR-ASD:AgeMRI",3.904,"(-0.59, 8.4)",394,"0.088",NA
"7","SiteSEA",1.003,"(-108.04, 110.05)",286,"0.986",NA
"8","SiteSTL",39.181,"(-61.66, 140.02)",286,"0.445",NA
"9","SiteUNC",24.351,"(-83.63, 132.33)",286,"0.657",NA
"10","AgeMRI",43.575,"(41.61, 45.54)",394,"<0.001",NA
