"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1251.886,"(1145.12, 1358.65)",275,"<0.001",NA
"2","ADIR_Pro_BV_Tot",-2.299,"(-8.26, 3.66)",204,"0.448",NA
"3","Cand_SexMale",112.948,"(66.8, 159.09)",204,"<0.001",NA
"4","RiskGroupHR-ASD",-16.598,"(-284.88, 251.69)",204,"0.903",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",2.887,"(-12.46, 18.23)",204,"0.711",NA
"6","RiskGroupHR-ASD:AgeMRI",0.477,"(-2.93, 3.88)",275,"0.783",NA
"7","SiteSEA",-7.18,"(-75.89, 61.53)",204,"0.837",NA
"8","SiteSTL",23.176,"(-41.72, 88.07)",204,"0.482",NA
"9","SiteUNC",-28.181,"(-93.41, 37.05)",204,"0.395",NA
"10","AgeMRI",20.096,"(18.86, 21.33)",275,"<0.001",NA
