"","V06","V12","V24"
"EACSF",6.97,15.88,9.17
"TCV",2.65,7.4,4.29
"TSA",1.91,8.46,4.23
"CCbody",2.56,0.65,3.45
"CCGenu",1.67,1.34,4.25
"CCSplenium",2.53,1.82,1.03
"ROI01",8.26,3.18,2.84
"ROI02",9.95,0.1,0.87
"ROI08",2.36,12.35,6.52
"ROI41",0.2,0.06,7.66
"ROI42",2.41,2.54,5.19
"ROI44",11.73,17.02,5.21
"ROI47",1.13,11.09,5.33
"ROI48",6.37,16.86,7.21
"ROI59",9.88,0.74,0.49
"ROI60",6.79,10.35,4.88
"ROI77",17.85,4.05,3.58
