"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1221.591,"(1149.37, 1293.82)",394,"<0.001",NA
"2","ADIR_Pro_C_Tot",-2.76,"(-10.94, 5.42)",286,"0.507",NA
"3","Cand_SexMale",106.976,"(67.55, 146.4)",286,"<0.001",NA
"4","RiskGroupHR-ASD",73.232,"(-61.26, 207.72)",286,"0.285",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",-1.53,"(-21.26, 18.2)",286,"0.879",NA
"6","RiskGroupHR-ASD:AgeMRI",-1.505,"(-4.86, 1.85)",394,"0.379",NA
"7","SiteSEA",-12.034,"(-67.93, 43.87)",286,"0.672",NA
"8","SiteSTL",39.805,"(-12.09, 91.7)",286,"0.132",NA
"9","SiteUNC",-24.799,"(-80.3, 30.7)",286,"0.38",NA
"10","AgeMRI",20.945,"(19.47, 22.42)",394,"<0.001",NA
