"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",636.868,"(578.35, 695.39)",394,"<0.001",NA
"2","ADIR_Pro_C_Tot",-5.767,"(-12.38, 0.85)",286,"0.087",NA
"3","Cand_SexMale",40.893,"(9.09, 72.7)",286,"0.012",NA
"4","RiskGroupHR-ASD",37.439,"(-70.52, 145.4)",286,"0.495",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",-1.113,"(-16.98, 14.75)",286,"0.89",NA
"6","RiskGroupHR-ASD:AgeMRI",-2.356,"(-4, -0.71)",394,"0.005",NA
"7","SiteSEA",21.419,"(-23.69, 66.53)",286,"0.351",NA
"8","SiteSTL",8.529,"(-33.17, 50.23)",286,"0.688",NA
"9","SiteUNC",-22.985,"(-67.62, 21.65)",286,"0.312",NA
"10","AgeMRI",11.539,"(10.82, 12.26)",394,"<0.001",NA
