"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","SCQ_Pro_Score",-1.45,"(-5.21, 2.31)",267,"0.449",NA
"2","Cand_SexMale",108.645,"(67.19, 150.1)",267,"<0.001",NA
"3","RiskGroupHR-ASD",46.158,"(-10.83, 103.15)",267,"0.112",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",-3.332,"(-13.85, 7.18)",267,"0.533",NA
