"","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","V06","TSA",35,"0","(-0.33, 0.33)",0.998,0.998
"2","V12","TSA",42,"0.17","(-0.14, 0.45)",0.283,0.849
"3","V24","TSA",50,"0.11","(-0.18, 0.37)",0.459,0.918
"4","V06","TCV",47,"0.02","(-0.27, 0.3)",0.915,0.998
"5","V12","TCV",42,"0.25","(-0.06, 0.52)",0.108,0.648
"6","V24","TCV",52,"0.05","(-0.23, 0.32)",0.736,0.998
