"","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","V06","TSA",35,"0.12","(-0.23, 0.43)",0.506,0.506
"2","V12","TSA",42,"0.47","(0.19, 0.67)",0.002,0.012
"3","V24","TSA",50,"0.33","(0.05, 0.55)",0.021,0.032
"4","V06","TCV",47,"0.13","(-0.17, 0.4)",0.4,0.48
"5","V12","TCV",42,"0.4","(0.11, 0.63)",0.008,0.024
"6","V24","TCV",52,"0.33","(0.06, 0.55)",0.016,0.032
