"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",657.958,"(582.41, 733.5)",394,"<0.001",NA
"2","ADIR_Pro_C_Tot",-1.48,"(-10, 7.04)",286,"0.732",NA
"3","Cand_SexMale",64.204,"(23.29, 105.12)",286,"0.002",NA
"4","RiskGroupHR-ASD",50.327,"(-89.4, 190.06)",286,"0.479",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",-7.949,"(-28.4, 12.5)",286,"0.445",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.251,"(-2.91, 2.41)",394,"0.853",NA
"7","SiteSEA",-9.557,"(-67.52, 48.4)",286,"0.746",NA
"8","SiteSTL",35.924,"(-17.71, 89.56)",286,"0.188",NA
"9","SiteUNC",3.105,"(-54.32, 60.53)",286,"0.915",NA
"10","AgeMRI",21.452,"(20.29, 22.62)",394,"<0.001",NA
