"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",805.815,"(707.72, 903.91)",275,"<0.001",NA
"2","ADIR_Pro_BV_Tot",-2.59,"(-8.07, 2.89)",204,"0.352",NA
"3","Cand_SexMale",58.646,"(16.34, 100.96)",204,"0.007",NA
"4","RiskGroupHR-ASD",42.477,"(-202.32, 287.27)",204,"0.733",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",-0.25,"(-14.29, 13.79)",204,"0.972",NA
"6","RiskGroupHR-ASD:AgeMRI",1.217,"(-1.37, 3.81)",275,"0.355",NA
"7","SiteSEA",-22.225,"(-84.99, 40.54)",204,"0.486",NA
"8","SiteSTL",-67.221,"(-126.58, -7.86)",204,"0.027",NA
"9","SiteUNC",-35.525,"(-95.17, 24.12)",204,"0.242",NA
"10","AgeMRI",11.989,"(11.05, 12.92)",275,"<0.001",NA
