"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1489.656,"(1357.31, 1622)",394,"<0.001",NA
"2","ADIR_Pro_C_Tot",2.001,"(-12.99, 16.99)",286,"0.793",NA
"3","Cand_SexMale",148.381,"(76.22, 220.55)",286,"<0.001",NA
"4","RiskGroupHR-ASD",21.793,"(-222.8, 266.39)",286,"0.861",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",-0.421,"(-36.34, 35.49)",286,"0.982",NA
"6","RiskGroupHR-ASD:AgeMRI",3.333,"(-0.08, 6.75)",394,"0.056",NA
"7","SiteSEA",-2.265,"(-104.78, 100.25)",286,"0.965",NA
"8","SiteSTL",-24.289,"(-119, 70.42)",286,"0.614",NA
"9","SiteUNC",43.194,"(-58.19, 144.58)",286,"0.402",NA
"10","AgeMRI",31.292,"(29.8, 32.79)",394,"<0.001",NA
