"","level","Overall"
"n","","384"
"Proband_Sex (%)","Male","331 (86.2)"
"","Female","53 (13.8)"
"Mother_Edu (%)","less_than_college","126 (32.8)"
"","college_degree","145 (37.8)"
"","some_grad_level","8 (2.1)"
"","grad_degree","94 (24.5)"
"","not_answered","4 (1.0)"
"",NA,"7 (1.8)"
"SCQ_Pro_Score (mean (SD))","","21.27 (5.59)"
"ADOS_SevScore (mean (SD))","","2.60 (2.19)"
