"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","SCQ_Pro_Score",-62.518,"(-175.37, 50.33)",233,"0.276",NA
"2","Cand_SexMale",4512.018,"(3328.94, 5695.1)",233,"<0.001",NA
"3","RiskGroupHR-ASD",-6417.196,"(-20458.8, 7624.4)",233,"0.369",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",360.327,"(45.77, 674.88)",233,"0.025",NA
