"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1278.955,"(1169.81, 1388.1)",275,"<0.001",NA
"2","ADIR_Pro_BV_Tot",-2.525,"(-8.62, 3.57)",204,"0.415",NA
"3","Cand_SexMale",59.266,"(12.18, 106.35)",204,"0.014",NA
"4","RiskGroupHR-ASD",-363.663,"(-636.29, -91.04)",204,"0.009",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",21.608,"(5.98, 37.23)",204,"0.007",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.367,"(-3.57, 2.83)",275,"0.822",NA
"7","SiteSEA",64.469,"(-5.36, 134.3)",204,"0.07",NA
"8","SiteSTL",-34.114,"(-100.18, 31.95)",204,"0.31",NA
"9","SiteUNC",7.572,"(-58.78, 73.93)",204,"0.822",NA
"10","AgeMRI",15.744,"(14.58, 16.91)",275,"<0.001",NA
