"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","ADIR_Pro_BV_Tot",-645.285,"(-1270.1, -20.47)",203,"0.043",NA
"2","Cand_SexMale",7327.968,"(2611.87, 12044.06)",203,"0.002",NA
"3","RiskGroupHR-ASD",-14365.166,"(-39815.96, 11085.63)",203,"0.267",NA
"4","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",1190.423,"(-211.69, 2592.54)",203,"0.096",NA
