"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1294.71,"(1171.61, 1417.81)",394,"<0.001",NA
"2","ADIR_Pro_A_Tot",-2.568,"(-8.16, 3.02)",286,"0.367",NA
"3","Cand_SexMale",114.249,"(54.74, 173.76)",286,"<0.001",NA
"4","RiskGroupHR-ASD",-187.732,"(-443.81, 68.34)",286,"0.15",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",8.852,"(-3.65, 21.36)",286,"0.165",NA
"6","RiskGroupHR-ASD:AgeMRI",0.741,"(-2.47, 3.95)",394,"0.651",NA
"7","SiteSEA",15.559,"(-69.12, 100.23)",286,"0.718",NA
"8","SiteSTL",-16.359,"(-95.32, 62.61)",286,"0.684",NA
"9","SiteUNC",-18.643,"(-101.04, 63.76)",286,"0.656",NA
"10","AgeMRI",24.843,"(23.44, 26.25)",394,"<0.001",NA
