"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1045.034,"(975.92, 1114.15)",394,"<0.001",NA
"2","ADIR_Pro_C_Tot",3.893,"(-3.91, 11.69)",286,"0.327",NA
"3","Cand_SexMale",102.346,"(64.84, 139.85)",286,"<0.001",NA
"4","RiskGroupHR-ASD",-64.597,"(-192.12, 62.93)",286,"0.32",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",8.457,"(-10.27, 27.19)",286,"0.375",NA
"6","RiskGroupHR-ASD:AgeMRI",0.716,"(-1.16, 2.59)",394,"0.453",NA
"7","SiteSEA",33.154,"(-20.01, 86.32)",286,"0.221",NA
"8","SiteSTL",-9.515,"(-58.68, 39.65)",286,"0.704",NA
"9","SiteUNC",31.461,"(-21.18, 84.1)",286,"0.24",NA
"10","AgeMRI",13.256,"(12.44, 14.08)",394,"<0.001",NA
