"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","SCQ_Pro_Score",0.00036,"(-2e-04, 9e-04)",281,"0.2",NA
"2","Cand_SexMale",0.00374,"(-0.0022, 0.0097)",281,"0.219",NA
"3","RiskGroupHR-ASD",-0.0222,"(-0.0541, 0.0097)",281,"0.172",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",0.00079,"(-5e-04, 0.0021)",281,"0.246",NA
