"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","ADIR_Pro_A_Tot",-790.399,"(-2316.62, 735.82)",316,"0.309",NA
"2","Cand_SexMale",74767.5,"(58857.28, 90677.72)",316,"<0.001",NA
"3","RiskGroupHR-ASD",-69450.466,"(-137454.91, -1446.02)",316,"0.045",NA
"4","RiskGroupHR-ASD:ADIR_Pro_A_Tot",4254.489,"(953.17, 7555.81)",316,"0.012",NA
