"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","ADIR_Pro_BV_Tot",-15.827,"(-24.96, -6.7)",204,"<0.001",NA
"2","Cand_SexMale",110.475,"(39.9, 181.05)",204,"0.002",NA
"3","RiskGroupHR-ASD",-517.901,"(-926.69, -109.11)",204,"0.013",NA
"4","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",29.028,"(5.6, 52.46)",204,"0.015",NA
