"","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","V06","TSA",164,"-0.04","(-0.19, 0.11)",0.599,0.756
"2","V12","TSA",206,"0.01","(-0.13, 0.14)",0.929,0.929
"3","V24","TSA",194,"-0.05","(-0.19, 0.09)",0.495,0.756
"4","V06","TCV",181,"-0.04","(-0.18, 0.11)",0.63,0.756
"5","V12","TCV",206,"-0.04","(-0.17, 0.1)",0.611,0.756
"6","V24","TCV",200,"-0.07","(-0.2, 0.07)",0.344,0.756
