"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","SCQ_Pro_Score",-348.469,"(-740.79, 43.85)",268,"0.081",NA
"2","Cand_SexMale",4873.694,"(742.86, 9004.52)",268,"0.021",NA
"3","RiskGroupHR-ASD",5878.236,"(-1970.03, 13726.51)",268,"0.141",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",1331.586,"(324.63, 2338.54)",268,"0.01",NA
