"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",704.391,"(618.17, 790.61)",275,"<0.001",NA
"2","ADIR_Pro_BV_Tot",-5.846,"(-10.66, -1.03)",204,"0.018",NA
"3","Cand_SexMale",37.346,"(0.18, 74.51)",204,"0.049",NA
"4","RiskGroupHR-ASD",-157.159,"(-371.94, 57.62)",204,"0.151",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",11.639,"(-0.68, 23.96)",204,"0.064",NA
"6","RiskGroupHR-ASD:AgeMRI",-3.17,"(-5.44, -0.9)",275,"0.006",NA
"7","SiteSEA",22.083,"(-33, 77.16)",204,"0.43",NA
"8","SiteSTL",1.631,"(-50.48, 53.74)",204,"0.951",NA
"9","SiteUNC",-23.489,"(-75.83, 28.85)",204,"0.377",NA
"10","AgeMRI",11.423,"(10.6, 12.25)",275,"<0.001",NA
