"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","SCQ_Pro_Score",0.00021,"(-3e-04, 7e-04)",281,"0.407",NA
"2","Cand_SexMale",3e-04,"(-0.0052, 0.0058)",281,"0.913",NA
"3","RiskGroupHR-ASD",-0.00174,"(-0.0092, 0.0057)",281,"0.647",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",0.00057,"(-7e-04, 0.0018)",281,"0.36",NA
