"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1697.299,"(1496.14, 1898.46)",275,"<0.001",NA
"2","ADIR_Pro_BV_Tot",2.055,"(-9.19, 13.3)",204,"0.719",NA
"3","Cand_SexMale",192.449,"(105.7, 279.2)",204,"<0.001",NA
"4","RiskGroupHR-ASD",-37.94,"(-539.22, 463.34)",204,"0.882",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",8.351,"(-20.4, 37.1)",204,"0.567",NA
"6","RiskGroupHR-ASD:AgeMRI",3.744,"(-2.1, 9.59)",275,"0.209",NA
"7","SiteSEA",-24.521,"(-153.02, 103.97)",204,"0.707",NA
"8","SiteSTL",-6.585,"(-128.19, 115.02)",204,"0.915",NA
"9","SiteUNC",-3.7,"(-125.78, 118.38)",204,"0.952",NA
"10","AgeMRI",43.009,"(40.87, 45.15)",275,"<0.001",NA
