"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1206.568,"(1124.84, 1288.3)",394,"<0.001",NA
"2","ADIR_Pro_A_Tot",-0.704,"(-4.4, 2.99)",286,"0.708",NA
"3","Cand_SexMale",114.475,"(75.16, 153.79)",286,"<0.001",NA
"4","RiskGroupHR-ASD",34.594,"(-135.01, 204.2)",286,"0.688",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",0.513,"(-7.75, 8.77)",286,"0.903",NA
"6","RiskGroupHR-ASD:AgeMRI",0.791,"(-1.41, 2.99)",394,"0.48",NA
"7","SiteSEA",6.679,"(-49.19, 62.55)",286,"0.814",NA
"8","SiteSTL",25.604,"(-26.44, 77.65)",286,"0.334",NA
"9","SiteUNC",6.612,"(-47.73, 60.95)",286,"0.811",NA
"10","AgeMRI",19.221,"(18.26, 20.18)",394,"<0.001",NA
