"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","SCQ_Pro_Score",0.00056,"(-2e-04, 0.0014)",237,"0.164",NA
"2","Cand_SexMale",0.00268,"(-0.0056, 0.011)",237,"0.526",NA
"3","RiskGroupHR-ASD",0.02718,"(-0.0623, 0.1166)",237,"0.55",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",0,"(-0.002, 0.002)",237,"1",NA
