"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",778.695,"(713.45, 843.94)",394,"<0.001",NA
"2","ADIR_Pro_C_Tot",-3.755,"(-11.12, 3.61)",286,"0.317",NA
"3","Cand_SexMale",50.698,"(15.27, 86.12)",286,"0.005",NA
"4","RiskGroupHR-ASD",85.988,"(-34.58, 206.55)",286,"0.161",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",-10.329,"(-28.03, 7.37)",286,"0.252",NA
"6","RiskGroupHR-ASD:AgeMRI",0.221,"(-1.78, 2.23)",394,"0.829",NA
"7","SiteSEA",-13.985,"(-64.2, 36.23)",286,"0.584",NA
"8","SiteSTL",-30.817,"(-77.28, 15.65)",286,"0.193",NA
"9","SiteUNC",-39.373,"(-89.11, 10.37)",286,"0.12",NA
"10","AgeMRI",12.484,"(11.61, 13.36)",394,"<0.001",NA
