"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","ADIR_Pro_C_Tot",-384.982,"(-1232.04, 462.07)",285,"0.372",NA
"2","Cand_SexMale",5864.77,"(1891.57, 9837.97)",285,"0.004",NA
"3","RiskGroupHR-ASD",6877.009,"(-7141.63, 20895.65)",285,"0.335",NA
"4","RiskGroupHR-ASD:ADIR_Pro_C_Tot",122.523,"(-1775.21, 2020.26)",285,"0.899",NA
