"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",632.198,"(566.88, 697.52)",394,"<0.001",NA
"2","ADIR_Pro_A_Tot",-2.082,"(-5.05, 0.88)",286,"0.168",NA
"3","Cand_SexMale",40.551,"(8.99, 72.11)",286,"0.012",NA
"4","RiskGroupHR-ASD",-156.683,"(-292.32, -21.04)",286,"0.024",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",9.581,"(2.95, 16.21)",286,"0.005",NA
"6","RiskGroupHR-ASD:AgeMRI",-2.276,"(-3.92, -0.63)",394,"0.007",NA
"7","SiteSEA",27.707,"(-17.17, 72.58)",286,"0.225",NA
"8","SiteSTL",13.236,"(-28.59, 55.06)",286,"0.534",NA
"9","SiteUNC",-8.018,"(-51.65, 35.61)",286,"0.718",NA
"10","AgeMRI",11.533,"(10.81, 12.25)",394,"<0.001",NA
