"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1217.883,"(1145.33, 1290.44)",394,"<0.001",NA
"2","ADIR_Pro_C_Tot",-3.715,"(-11.88, 4.45)",286,"0.371",NA
"3","Cand_SexMale",115.717,"(76.49, 154.94)",286,"<0.001",NA
"4","RiskGroupHR-ASD",-35.818,"(-169.9, 98.27)",286,"0.599",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",12.567,"(-7.02, 32.16)",286,"0.208",NA
"6","RiskGroupHR-ASD:AgeMRI",0.789,"(-1.41, 2.99)",394,"0.481",NA
"7","SiteSEA",5.69,"(-49.91, 61.29)",286,"0.841",NA
"8","SiteSTL",25.592,"(-25.78, 76.97)",286,"0.328",NA
"9","SiteUNC",3.321,"(-51.73, 58.37)",286,"0.906",NA
"10","AgeMRI",19.232,"(18.27, 20.19)",394,"<0.001",NA
