"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",753.573,"(680.13, 827.02)",394,"<0.001",NA
"2","ADIR_Pro_A_Tot",-0.143,"(-3.47, 3.19)",286,"0.933",NA
"3","Cand_SexMale",51.505,"(16.02, 86.99)",286,"0.005",NA
"4","RiskGroupHR-ASD",-82.489,"(-235.28, 70.3)",286,"0.289",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",5.238,"(-2.22, 12.7)",286,"0.168",NA
"6","RiskGroupHR-ASD:AgeMRI",0.298,"(-1.7, 2.3)",394,"0.77",NA
"7","SiteSEA",-11.253,"(-61.68, 39.18)",286,"0.661",NA
"8","SiteSTL",-31.694,"(-78.73, 15.35)",286,"0.186",NA
"9","SiteUNC",-29.045,"(-78.12, 20.03)",286,"0.245",NA
"10","AgeMRI",12.473,"(11.6, 13.35)",394,"<0.001",NA
