"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","SCQ_Pro_Score",0.00021,"(-3e-04, 7e-04)",280,"0.408",NA
"2","Cand_SexMale",0.00029,"(-0.0052, 0.0058)",280,"0.917",NA
"3","RiskGroupHR-ASD",-0.00174,"(-0.0092, 0.0057)",280,"0.647",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",0.00057,"(-7e-04, 0.0018)",280,"0.361",NA
