"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",605.147,"(546.05, 664.24)",394,"<0.001",NA
"2","ADIR_Pro_C_Tot",3.657,"(-2.99, 10.31)",286,"0.28",NA
"3","Cand_SexMale",66.063,"(34.12, 98.01)",286,"<0.001",NA
"4","RiskGroupHR-ASD",-1.226,"(-110.21, 107.76)",286,"0.982",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",10.216,"(-5.74, 26.17)",286,"0.209",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.478,"(-2.18, 1.22)",394,"0.58",NA
"7","SiteSEA",13.283,"(-31.98, 58.55)",286,"0.564",NA
"8","SiteSTL",3.846,"(-37.98, 45.67)",286,"0.856",NA
"9","SiteUNC",39.281,"(-5.52, 84.08)",286,"0.085",NA
"10","AgeMRI",8.834,"(8.09, 9.57)",394,"<0.001",NA
