"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","SCQ_Pro_Score",-1.625,"(-5.98, 2.73)",233,"0.463",NA
"2","Cand_SexMale",94.369,"(48.52, 140.22)",233,"<0.001",NA
"3","RiskGroupHR-ASD",-139.23,"(-688.67, 410.21)",233,"0.618",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",5.651,"(-6.51, 17.81)",233,"0.361",NA
