"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1697.859,"(1538.51, 1857.21)",394,"<0.001",NA
"2","ADIR_Pro_A_Tot",0.035,"(-7.18, 7.25)",286,"0.992",NA
"3","Cand_SexMale",191.055,"(114.17, 267.94)",286,"<0.001",NA
"4","RiskGroupHR-ASD",-132.135,"(-463.38, 199.11)",286,"0.433",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",12.282,"(-3.88, 28.44)",286,"0.136",NA
"6","RiskGroupHR-ASD:AgeMRI",4.01,"(-0.48, 8.5)",394,"0.08",NA
"7","SiteSEA",5.445,"(-103.75, 114.64)",286,"0.922",NA
"8","SiteSTL",41.903,"(-59.91, 143.72)",286,"0.419",NA
"9","SiteUNC",38.095,"(-68.13, 144.31)",286,"0.481",NA
"10","AgeMRI",43.554,"(41.59, 45.52)",394,"<0.001",NA
