"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1211.297,"(1102.08, 1320.51)",275,"<0.001",NA
"2","ADIR_Pro_BV_Tot",-0.312,"(-6.4, 5.77)",204,"0.92",NA
"3","Cand_SexMale",110.149,"(63.21, 157.09)",204,"<0.001",NA
"4","RiskGroupHR-ASD",-30.313,"(-301.56, 240.94)",204,"0.826",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",4.049,"(-11.49, 19.59)",204,"0.608",NA
"6","RiskGroupHR-ASD:AgeMRI",1.233,"(-1.55, 4.01)",275,"0.383",NA
"7","SiteSEA",-3.05,"(-72.56, 66.46)",204,"0.931",NA
"8","SiteSTL",12.28,"(-53.45, 78.01)",204,"0.713",NA
"9","SiteUNC",8.526,"(-57.59, 74.64)",204,"0.8",NA
"10","AgeMRI",18.87,"(17.88, 19.86)",275,"<0.001",NA
