"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","SCQ_Pro_Score",1.801,"(-1.83, 5.44)",268,"0.33",NA
"2","Cand_SexMale",89.799,"(49.83, 129.77)",268,"<0.001",NA
"3","RiskGroupHR-ASD",-20.799,"(-74.34, 32.74)",268,"0.445",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",6.744,"(-3.44, 16.93)",268,"0.193",NA
