"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","SCQ_Pro_Score",-1008.653,"(-2546.02, 528.71)",293,"0.198",NA
"2","Cand_SexMale",73631.992,"(57103.09, 90160.9)",293,"<0.001",NA
"3","RiskGroupHR-ASD",4661.725,"(-18343.67, 27667.12)",293,"0.69",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",6110.881,"(2282.61, 9939.15)",293,"0.002",NA
