"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1080.094,"(978.35, 1181.84)",275,"<0.001",NA
"2","ADIR_Pro_BV_Tot",0.81,"(-4.87, 6.49)",204,"0.779",NA
"3","Cand_SexMale",81.018,"(37.19, 124.84)",204,"<0.001",NA
"4","RiskGroupHR-ASD",-133.406,"(-386.71, 119.9)",204,"0.3",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",6.772,"(-7.75, 21.3)",204,"0.359",NA
"6","RiskGroupHR-ASD:AgeMRI",1.415,"(-1.24, 4.07)",275,"0.294",NA
"7","SiteSEA",21.09,"(-43.84, 86.02)",204,"0.523",NA
"8","SiteSTL",-10.446,"(-71.88, 50.99)",204,"0.738",NA
"9","SiteUNC",19.012,"(-42.71, 80.74)",204,"0.544",NA
"10","AgeMRI",13.227,"(12.27, 14.18)",275,"<0.001",NA
