"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1449.468,"(1300.01, 1598.93)",394,"<0.001",NA
"2","ADIR_Pro_A_Tot",2.956,"(-3.83, 9.74)",286,"0.392",NA
"3","Cand_SexMale",149.719,"(77.61, 221.83)",286,"<0.001",NA
"4","RiskGroupHR-ASD",50.977,"(-258.8, 360.75)",286,"0.746",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",-1.806,"(-16.93, 13.32)",286,"0.814",NA
"6","RiskGroupHR-ASD:AgeMRI",3.356,"(-0.06, 6.77)",394,"0.054",NA
"7","SiteSEA",-4.999,"(-107.7, 97.7)",286,"0.924",NA
"8","SiteSTL",-28.755,"(-124.36, 66.85)",286,"0.554",NA
"9","SiteUNC",38.449,"(-61.32, 138.21)",286,"0.449",NA
"10","AgeMRI",31.28,"(29.78, 32.78)",394,"<0.001",NA
