"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","ADIR_Pro_A_Tot",-0.992,"(-4, 2.02)",286,"0.517",NA
"2","Cand_SexMale",61.79,"(29.77, 93.81)",286,"<0.001",NA
"3","RiskGroupHR-ASD",-56.169,"(-194.02, 81.68)",286,"0.423",NA
"4","RiskGroupHR-ASD:ADIR_Pro_A_Tot",6.076,"(-0.65, 12.8)",286,"0.077",NA
