"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","SCQ_Pro_Score",-0.802,"(-3.79, 2.18)",268,"0.597",NA
"2","Cand_SexMale",59.886,"(27.06, 92.71)",268,"<0.001",NA
"3","RiskGroupHR-ASD",-171.251,"(-367.37, 24.87)",268,"0.087",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",10.879,"(2.52, 19.24)",268,"0.011",NA
