"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",595.444,"(487.95, 702.94)",275,"<0.001",NA
"2","ADIR_Pro_BV_Tot",3.686,"(-2.32, 9.69)",204,"0.228",NA
"3","Cand_SexMale",71.928,"(25.58, 118.28)",204,"0.003",NA
"4","RiskGroupHR-ASD",-36.798,"(-305.33, 231.73)",204,"0.787",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",1.342,"(-14.03, 16.72)",204,"0.863",NA
"6","RiskGroupHR-ASD:AgeMRI",-1.95,"(-5.53, 1.63)",275,"0.284",NA
"7","SiteSEA",-31.952,"(-100.61, 36.71)",204,"0.36",NA
"8","SiteSTL",15.974,"(-49.03, 80.98)",204,"0.629",NA
"9","SiteUNC",-4.808,"(-70.07, 60.45)",204,"0.885",NA
"10","AgeMRI",21.365,"(20.06, 22.67)",275,"<0.001",NA
